Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
French Guiana,,98041,32825,,,,413,138,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Madagascar,Africa,68486,247,,,,1426,5,,,
Aruba,Americas,44224,41421,,,,292,273,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
Iceland,Europe,209884,57639,,,,186,51,,,
South Sudan,Africa,18819,168,,,,147,1,,,
Nicaragua,Americas,15728,237,,,,245,4,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Cuba,Americas,1115043,9844,,,,8530,75,,,
Niue,Western Pacific,993,61372,,,,0,,,,
Zambia,Africa,349304,1900,,,,4069,22,,,
Algeria,Africa,272010,620,,,,6881,16,,,
Martinique,,230354,61384,,,,1104,294,,,
Liechtenstein,,21572,55674,,,,89,230,,,
Guadeloupe,,203235,50793,,,,1021,255,,,
Isle of Man,,38008,44698,,,,116,136,,,
Nigeria,Africa,267188,130,,,,3155,2,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Kenya,Africa,344094,640,,,,5689,11,,,
Réunion,,494595,55243,,,,921,103,,,
Gabon,Africa,49051,2204,,,,307,14,,,
Gambia,Africa,12626,522,,,,372,15,,,
Liberia,Africa,7930,157,,,,294,6,,,
Burundi,Africa,54552,459,,,,15,,,,
Guernsey,,35326,54796,,,,67,104,,,
Benin,Africa,28036,231,,,,163,1,,,
Congo,Africa,25213,457,,,,389,7,,,
Togo,Africa,39527,477,,,,290,4,,,
Mali,Africa,33164,164,,,,743,4,,,
Saint Helena,,2166,35678,,,,0,,,,
Niger,Africa,9515,39,,,,315,1,,,
Chad,Africa,7698,47,,,,194,1,,,
Diamond,Other,712,,,,,13,,,,
Ickiribati,Other,2,,,,,0,,,,
Icvanuatu,Other,12,,,,,0,,,,
Holy See,,26,3214,,,,0,,,,
Charo,Other,29,,,,,0,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.74659134E8,4771491.0,66072.0,457.0,66072.0,7029176.0,29307.0,295.0,1.0,295.0
Sweden,Europe,2750430,26632,288,3,288,27143,263,28,,28
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Russian Federation,Europe,23902906,16379,27400,19,27400,402097,276,106,,106
Australia,Western Pacific,11777749,46187,7698,30,7698,24631,97,20,,20
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Bolivia (Plurinational State of),Americas,1211716,10380,,,,22385,192,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
Zimbabwe,Africa,266319,1792,,,,5737,39,,,
Micronesia (Federated States of),Western Pacific,26547,23080,,,,65,57,,,
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
Saint Barthélemy,,5507,55711,,,,5,51,,,
Angola,Africa,107322,327,,,,1937,6,,,
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Latvia,Europe,977701,51251,,,,7465,391,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Northern Mariana Islands,Western Pacific,14341,24916,,,,41,71,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Azerbaijan,Europe,834649,8232,104,1,104,10353,102,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Belarus,Europe,994037,10520,,,,7118,75,,,
Democratic Republic of the Congo,Africa,99338,111,,,,1468,2,,,
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Tonga,Western Pacific,16950,16037,,,,12,11,,,
Marshall Islands,Western Pacific,16138,27263,,,,17,29,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
United Kingdom of Great Britain and Northern Ireland,Europe,24902630,36683,3716,5,3716,232112,342,,,
Cyprus,Europe,681110,76701,,,,1365,154,,,
Turks and Caicos Islands,Americas,6737,17400,,,,40,103,,,
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2047552,1243,255,,255,29483,18,1,,1
French Polynesia,Western Pacific,79254,28214,,,,650,231,,,
Sierra Leone,Africa,7779,98,,,,125,2,,,
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Jamaica,Americas,156729,5293,,,,3592,121,,,
British Virgin Islands,Americas,7392,24447,,,,64,212,,,
Guyana,Americas,73751,9376,,,,1299,165,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
Estonia,Europe,609926,45894,97,7,97,2993,225,2,,2
Austria,Europe,6081287,68321,,,,22534,253,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Wallis and Futuna,Western Pacific,3550,31567,,,,8,71,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30062,16371,,,,409,223,,,
Rwanda,Africa,133208,1028,,,,1468,11,,,
