"Country","Total #Alpha 202012/01 GRY (B.1.1.7+Q.*)","#Alpha 202012/01 GRY (B.1.1.7+Q.*) in past 4 weeks","%Alpha 202012/01 GRY (B.1.1.7+Q.*) in past 4 weeks"
"United Kingdom","272,332","0","0.0"
"USA","237,201","1","0.0"
"Germany","103,735","0","0.0"
"Sweden","68,310","0","0.0"
"Denmark","63,529","0","0.0"
"Japan","48,917","0","0.0"
"Canada","41,481","0","0.0"
"France","34,998","3","0.1"
"Netherlands","30,000","0","0.0"
"Italy","26,448","0","0.0"
"Spain","24,477","0","0.0"
"Switzerland","21,851","0","0.0"
"Belgium","21,223","1","0.0"
"Ireland","16,079","0","0.0"
"Poland","15,372","0","0.0"
"Norway","13,835","0","0.0"
"Lithuania","9,360","0","0.0"
"Slovenia","8,519","0","0.0"
"Israel","8,028","0","0.0"
"Finland","6,177","0","0.0"
"Greece","5,663","0","0.0"
"Portugal","5,017","0","0.0"
"Luxembourg","4,899","0","0.0"
"Slovakia","4,583","0","0.0"
"Croatia","4,471","0","0.0"
"Czech Republic","4,460","0","0.0"
"India","4,247","0","0.0"
"Austria","3,871","0","0.0"
"Estonia","3,198","0","0.0"
"Latvia","3,191","0","0.0"
"Bulgaria","3,070","0","0.0"
"Philippines","2,719","0","0.0"
"Thailand","2,020","0","0.0"
"Turkey","1,917","0","0.0"
"Mexico","1,799","0","0.0"
"Romania","1,658","0","0.0"
"Brazil","1,005","0","0.0"
"Puerto Rico","947","0","0.0"
"Kenya","942","0","0.0"
"Lebanon","851","0","0.0"
"South Korea","827","0","0.0"
"Cambodia","805","0","0.0"
"Iceland","599","0","0.0"
"Australia","586","0","0.0"
"Aruba","551","0","0.0"
"Pakistan","459","0","0.0"
"Sint Maarten","430","0","0.0"
"Sri Lanka","399","0","0.0"
"Russia","397","0","0.0"
"Ghana","380","0","0.0"
"United Arab Emirates","363","0","0.0"
"Argentina","326","0","0.0"
"Curacao","318","0","0.0"
"North Macedonia","273","0","0.0"
"Martinique","258","0","0.0"
"Nigeria","255","0","0.0"
"Qatar","231","0","0.0"
"South Africa","228","0","0.0"
"Ecuador","226","0","0.0"
"Gibraltar","216","0","0.0"
"Jamaica","207","0","0.0"
"Singapore","190","0","0.0"
"Chile","190","0","0.0"
"Bonaire","183","0","0.0"
"Kazakhstan","163","0","0.0"
"Oman","160","0","0.0"
"New Zealand","152","0","0.0"
"Malta","149","0","0.0"
"Angola","149","0","0.0"
"Hong Kong","147","0","0.0"
"Colombia","146","0","0.0"
"Costa Rica","145","0","0.0"
"Jordan","143","0","0.0"
"Morocco","137","0","0.0"
"U.S. Virgin Islands","132","0","0.0"
"Guadeloupe","129","0","0.0"
"Reunion","128","0","0.0"
"Ukraine","116","0","0.0"
"Iran","113","0","0.0"
"Serbia","109","0","0.0"
"Guam","105","0","0.0"
"Georgia","97","0","0.0"
"Bangladesh","96","0","0.0"
"Djibouti","79","0","0.0"
"Indonesia","78","1","1.6"
"Gambia","76","0","0.0"
"Bosnia and Herzegovina","75","0","0.0"
"Iraq","74","0","0.0"
"French Guiana","61","0","0.0"
"Bahrain","60","0","0.0"
"The Bahamas","59","0","0.0"
"Taiwan","56","0","0.0"
"Montenegro","55","0","0.0"
"Afghanistan","55","0","0.0"
"Suriname","47","0","0.0"
"Guinea","46","0","0.0"
"Gabon","46","0","0.0"
"Barbados","45","0","0.0"
"Benin","37","0","0.0"
"Moldova","37","0","0.0"
"Cayman Islands","35","0","0.0"
"Senegal","35","0","0.0"
"Saint Lucia","34","0","0.0"
"Togo","34","0","0.0"
"Malaysia","33","0","0.0"
"Cote d'Ivoire","33","0","0.0"
"Republic of the Congo","33","0","0.0"
"Guinea-Bissau","32","0","0.0"
"Hungary","29","0","0.0"
"Albania","29","0","0.0"
"Ethiopia","28","0","0.0"
"Belize","27","0","0.0"
"Kosovo","26","0","0.0"
"Vietnam","26","0","0.0"
"Panama","26","0","0.0"
"Madagascar","25","0","0.0"
"Peru","24","0","0.0"
"Kuwait","24","0","0.0"
"Palestine","22","0","0.0"
"Dominican Republic","20","0","0.0"
"Saudi Arabia","20","0","0.0"
"Antigua and Barbuda","19","0","0.0"
"Liechtenstein","19","0","0.0"
"China","18","0","0.0"
"Guatemala","18","0","0.0"
"Uganda","17","0","0.0"
"Democratic Republic of the Congo","16","0","0.0"
"Maldives","14","0","0.0"
"Nepal","12","0","0.0"
"Cameroon","12","0","0.0"
"Central African Republic","12","0","0.0"
"Algeria","11","0","0.0"
"Wallis and Futuna Islands","10","0","0.0"
"Rwanda","10","0","0.0"
"Armenia","10","0","0.0"
"Cyprus","10","0","0.0"
"Trinidad and Tobago","9","0","0.0"
"Somalia","7","0","0.0"
"Paraguay","7","0","0.0"
"El Salvador","7","0","0.0"
"Egypt","7","0","0.0"
"Andorra","7","0","0.0"
"Tunisia","6","0","0.0"
"Zambia","6","0","0.0"
"Venezuela","6","0","0.0"
"Malawi","5","0","0.0"
"Turks and Caicos Islands","5","0","0.0"
"Seychelles","5","0","0.0"
"Dominica","4","0","0.0"
"Fiji","4","0","0.0"
"Liberia","4","0","0.0"
"Cabo Verde","4","0","0.0"
"Namibia","3","0","0.0"
"Azerbaijan","3","0","0.0"
"Northern Mariana Islands","3","0","0.0"
"Belarus","3","0","0.0"
"Grenada","3","0","0.0"
"Burkina Faso","3","0","0.0"
"Monaco","3","0","0.0"
"Anguilla","2","0","0.0"
"Mozambique","2","0","0.0"
"Faroe Islands","2","0","0.0"
"Niger","2","0","0.0"
"Mayotte","2","0","0.0"
"Uzbekistan","2","0","0.0"
"Montserrat","2","0","0.0"
"Bermuda","2","0","0.0"
"South Sudan","2","0","0.0"
"Myanmar","2","0","0.0"
"Sudan","2","0","0.0"
"Equatorial Guinea","1","0","0.0"
"Mauritius","1","0","0.0"
"Haiti","1","0","0.0"
"Libya","1","0","0.0"
"Honduras","1","0","0.0"
"Vanuatu","1","0","0.0"
"Chad","1","0","0.0"
"Burundi","1","0","0.0"
"British Virgin Islands","1","0","0.0"
