"Country","Total #Delta GK (B.1.617.2+AY.*)","#Delta GK (B.1.617.2+AY.*) in past 4 weeks","%Delta GK (B.1.617.2+AY.*) in past 4 weeks"
"USA","1,022,551","51,731","99.4"
"United Kingdom","890,499","126,035","100.0"
"Germany","119,698","6,769","99.9"
"Denmark","108,721","26,698","100.0"
"Canada","82,443","595","98.8"
"France","78,954","3,812","98.9"
"Japan","71,041","34","94.4"
"Turkey","52,266","2,695","99.9"
"India","49,536","280","99.6"
"Switzerland","44,520","6,890","99.2"
"Sweden","43,683","5,065","100.0"
"Belgium","34,496","2,100","99.8"
"Italy","31,328","2,686","98.4"
"Spain","30,268","1,544","99.3"
"Netherlands","29,645","1,887","99.3"
"Australia","23,245","1,335","99.3"
"Ireland","21,972","339","99.7"
"Brazil","21,013","637","99.5"
"Mexico","19,267","505","99.6"
"Israel","14,953","1,946","88.3"
"Poland","14,178","3,043","100.0"
"Slovenia","13,439","0","0.0"
"Norway","12,979","290","100.0"
"Portugal","12,495","1,023","98.6"
"South Africa","10,820","40","17.1"
"Czech Republic","9,803","437","99.8"
"Lithuania","9,633","538","99.1"
"Finland","9,234","0","0.0"
"Slovakia","8,741","375","100.0"
"South Korea","8,615","0","0.0"
"Singapore","7,750","760","100.0"
"Austria","7,462","287","96.6"
"Chile","6,666","606","98.1"
"Croatia","6,506","441","100.0"
"Luxembourg","6,002","522","100.0"
"Russia","5,540","112","100.0"
"Indonesia","5,371","63","98.4"
"Thailand","4,944","80","100.0"
"Bulgaria","4,695","0","0.0"
"Romania","4,680","41","100.0"
"Malaysia","3,911","53","96.4"
"Iceland","3,767","0","0.0"
"New Zealand","3,385","400","100.0"
"Peru","3,238","253","96.2"
"Philippines","3,220","0","0.0"
"Greece","2,987","334","94.6"
"Estonia","2,896","0","0.0"
"Puerto Rico","2,505","6","100.0"
"Bahrain","2,013","277","100.0"
"Kenya","1,841","11","100.0"
"Nigeria","1,795","0","0.0"
"Aruba","1,625","33","100.0"
"Colombia","1,519","34","89.5"
"Vietnam","1,518","0","0.0"
"Reunion","1,413","84","98.8"
"Bangladesh","1,362","0","0.0"
"Qatar","1,343","0","0.0"
"Sint Maarten","1,231","0","0.0"
"Sri Lanka","1,076","80","100.0"
"Botswana","1,051","44","69.8"
"Ecuador","1,023","156","92.9"
"Gibraltar","848","0","0.0"
"Kosovo","839","0","0.0"
"Cambodia","803","170","100.0"
"Pakistan","750","24","100.0"
"Papua New Guinea","717","0","0.0"
"Costa Rica","689","1","100.0"
"Argentina","652","13","76.5"
"Maldives","627","50","100.0"
"Ghana","591","22","40.0"
"Fiji","507","0","0.0"
"Curacao","495","15","100.0"
"Seychelles","493","0","0.0"
"Bonaire","484","23","100.0"
"Hong Kong","436","13","56.5"
"Martinique","433","0","0.0"
"Bosnia and Herzegovina","430","0","0.0"
"Ethiopia","424","0","0.0"
"Jordan","379","44","100.0"
"Guadeloupe","371","0","0.0"
"Zambia","356","0","0.0"
"Georgia","343","18","100.0"
"Uganda","340","0","0.0"
"Mozambique","332","0","0.0"
"Gambia","316","0","0.0"
"Guatemala","302","0","0.0"
"Rwanda","293","0","0.0"
"French Guiana","291","11","91.7"
"Cameroon","282","0","0.0"
"U.S. Virgin Islands","247","0","0.0"
"Trinidad and Tobago","245","3","100.0"
"Nepal","238","0","0.0"
"Democratic Republic of the Congo","228","0","0.0"
"Ukraine","226","0","0.0"
"Malawi","216","0","0.0"
"Kuwait","191","0","0.0"
"Paraguay","185","0","0.0"
"Montenegro","178","0","0.0"
"Kazakhstan","167","0","0.0"
"Angola","159","0","0.0"
"Oman","159","0","0.0"
