"Country","Total #Gamma GR/501Y.V3 (P.1+P.1.*)","#Gamma GR/501Y.V3 (P.1+P.1.*) in past 4 weeks","%Gamma GR/501Y.V3 (P.1+P.1.*) in past 4 weeks"
"Brazil","45,478","0","0.0"
"USA","29,165","0","0.0"
"Canada","16,026","0","0.0"
"Chile","4,440","0","0.0"
"Mexico","2,732","0","0.0"
"Italy","2,619","0","0.0"
"Argentina","2,511","1","5.9"
"Belgium","2,045","0","0.0"
"Peru","1,980","5","1.9"
"Spain","1,229","0","0.0"
"Luxembourg","1,049","0","0.0"
"Germany","871","0","0.0"
"Colombia","846","0","0.0"
"France","746","0","0.0"
"Netherlands","592","0","0.0"
"Trinidad and Tobago","502","0","0.0"
"French Guiana","414","0","0.0"
"Suriname","377","0","0.0"
"Ecuador","310","1","0.6"
"Switzerland","267","0","0.0"
"Paraguay","256","0","0.0"
"United Kingdom","253","0","0.0"
"Turkey","234","0","0.0"
"Portugal","204","0","0.0"
"Sweden","188","0","0.0"
"Uruguay","174","0","0.0"
"Costa Rica","160","0","0.0"
"Japan","130","0","0.0"
"Aruba","124","0","0.0"
"Puerto Rico","68","0","0.0"
"Denmark","64","0","0.0"
"Dominican Republic","60","0","0.0"
"Haiti","56","0","0.0"
"Austria","48","0","0.0"
"Guatemala","35","0","0.0"
"Ireland","34","0","0.0"
"Malta","33","0","0.0"
"Panama","30","0","0.0"
"Israel","27","0","0.0"
"Poland","26","0","0.0"
"Belize","22","0","0.0"
"Bolivia","22","0","0.0"
"Czech Republic","21","0","0.0"
"Finland","20","0","0.0"
"Saint Vincent and the Grenadines","19","0","0.0"
"Iceland","17","0","0.0"
"Romania","17","0","0.0"
"Venezuela","17","0","0.0"
"South Korea","16","0","0.0"
"Curacao","14","0","0.0"
"Slovenia","12","0","0.0"
"Norway","12","0","0.0"
"Jordan","11","0","0.0"
"India","10","0","0.0"
"Australia","8","0","0.0"
"Lithuania","8","0","0.0"
"Singapore","8","0","0.0"
"Croatia","7","0","0.0"
"New Zealand","7","0","0.0"
"Taiwan","6","0","0.0"
"Philippines","6","0","0.0"
"South Africa","5","0","0.0"
"Barbados","5","0","0.0"
"Greece","5","0","0.0"
"Guyana","3","0","0.0"
"Antigua and Barbuda","3","0","0.0"
"Montenegro","3","0","0.0"
"Bosnia and Herzegovina","3","0","0.0"
"China","2","0","0.0"
"Honduras","2","0","0.0"
"Latvia","2","0","0.0"
"U.S. Virgin Islands","2","0","0.0"
"Russia","2","0","0.0"
"Liechtenstein","1","0","0.0"
"Pakistan","1","0","0.0"
"Bonaire","1","0","0.0"
"Ethiopia","1","0","0.0"
"Angola","1","0","0.0"
"Ghana","1","0","0.0"
"Serbia","1","0","0.0"
"Sint Maarten","1","0","0.0"
"The Bahamas","1","0","0.0"
"Faroe Islands","1","0","0.0"
"Cayman Islands","1","0","0.0"
"Bangladesh","1","0","0.0"
"El Salvador","1","0","0.0"
"Montserrat","1","0","0.0"
"Thailand","1","0","0.0"
"Martinique","1","0","0.0"
"Bahrain","1","0","0.0"
"Guam","1","0","0.0"
